시군구,번지,본번,부번,단지명,전용면적,계약년월,계약일,거래금액,층,건축년도,도로명,거래유형
강원도 강릉시 견소동,202,202,0,송정한신,39.08,202209,30,17700 ,10,1997,경강로2539번길 8,중개거래
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202209,2,37500 ,8,2005,경강로2539번길 22,중개거래
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202209,25,31500 ,11,2005,경강로2539번길 22,중개거래
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,84.9866,202209,16,28000 ,1,2009,화부산로99번길 12,직거래
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202209,29,30000 ,14,1999,가작로 78,중개거래
강원도 강릉시 교동,1775,1775,0,부영6,59.987,202209,2,26000 ,13,2003,정원로 53-9,중개거래
강원도 강릉시 교동,1759,1759,0,현대하이빌,122.74,202209,26,55000 ,15,1999,원대로128번길 14,직거래
강원도 강릉시 내곡동,623,623,0,내곡주공,39.3,202209,5,9500 ,3,1989,관대길16번길 6,중개거래
강원도 강릉시 내곡동,476,476,0,내곡한라,84.95,202209,26,29200 ,13,1997,강변로 114,중개거래
강원도 강릉시 내곡동,758,758,0,벽산블루밍더베스트아파트,49.967,202209,20,18400 ,19,2022,범일로579번길 29-6,직거래
강원도 강릉시 노암동,618-1,618,1,고합,32.04,202209,29,6900 ,8,1996,남부로125번길 23,중개거래
강원도 강릉시 노암동,835,835,0,노암2주공,49.22,202209,15,10000 ,5,1984,노가니남길 25,중개거래
강원도 강릉시 노암동,835,835,0,노암2주공,59.3,202209,20,14000 ,5,1984,노가니남길 25,중개거래
강원도 강릉시 노암동,835,835,0,노암2주공,59.3,202209,20,14000 ,5,1984,노가니남길 25,중개거래
강원도 강릉시 노암동,390,390,0,노암한라,59.976,202209,17,14500 ,7,1994,노암길42번길 28,중개거래
강원도 강릉시 노암동,397,397,0,서일,40.69,202209,17,6200 ,3,1988,노암길42번길 20,중개거래
강원도 강릉시 송정동,940-23,940,23,대림맨션,84.99,202209,7,25000 ,4,1991,남강초교2길 44,중개거래
강원도 강릉시 송정동,940,940,0,삼우은성,84.96,202209,9,26500 ,4,1992,남강초교1길 55,중개거래
강원도 강릉시 송정동,940,940,0,삼우은성,72.86,202209,21,21200 ,14,1992,남강초교1길 55,중개거래
강원도 강릉시 송정동,1064,1064,0,송정아이파크,84.93,202209,3,60500 ,11,2019,경강로 2511,중개거래
강원도 강릉시 송정동,1064,1064,0,송정아이파크,84.93,202209,19,56000 ,5,2019,경강로 2511,중개거래
